,name,album,artist,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence
0,Consideration,ANTI (Deluxe),Rihanna,2016-01-28,161066,70,0.883,0.0392,0.584,4.39e-06,0.0869,-2.102,0.0465,144.975,4,0.784
1,James Joint,ANTI (Deluxe),Rihanna,2016-01-28,72080,64,0.399,0.66,0.203,0.000163,0.27,-11.649,0.0298,134.202,4,0.405
2,Kiss It Better,ANTI (Deluxe),Rihanna,2016-01-28,253080,77,0.619,0.272,0.806,0.0,0.0671,-4.8,0.0483,95.0,4,0.877
3,Work,ANTI (Deluxe),Rihanna,2016-01-28,219320,77,0.725,0.0752,0.534,0.0,0.0919,-6.238,0.0946,91.974,4,0.558
4,Desperado,ANTI (Deluxe),Rihanna,2016-01-28,186466,74,0.685,0.323,0.61,0.0,0.102,-5.221,0.0439,94.384,3,0.323
5,Woo,ANTI (Deluxe),Rihanna,2016-01-28,235586,78,0.42,0.0546,0.466,0.00389,0.298,-5.298,0.0326,115.004,4,0.185
6,Needed Me,ANTI (Deluxe),Rihanna,2016-01-28,191600,81,0.671,0.11,0.314,0.0,0.0825,-8.091,0.244,110.898,4,0.296
7,"Yeah, I Said It",ANTI (Deluxe),Rihanna,2016-01-28,133080,67,0.509,0.547,0.38,1.21e-06,0.36,-7.479,0.158,127.88,4,0.249
8,Same Ol' Mistakes,ANTI (Deluxe),Rihanna,2016-01-28,397093,65,0.44,0.199,0.803,0.00282,0.0591,-5.415,0.0443,151.777,4,0.501
9,Never Ending,ANTI (Deluxe),Rihanna,2016-01-28,202506,57,0.53,0.751,0.391,6.97e-05,0.187,-9.096,0.0286,82.215,4,0.521
10,Love On The Brain,ANTI (Deluxe),Rihanna,2016-01-28,224000,82,0.509,0.0717,0.637,1.08e-05,0.0789,-4.83,0.0471,172.006,3,0.378
11,Higher,ANTI (Deluxe),Rihanna,2016-01-28,120626,64,0.292,0.112,0.567,1.01e-06,0.119,-4.191,0.0416,153.199,3,0.392
12,Close To You,ANTI (Deluxe),Rihanna,2016-01-28,223213,64,0.494,0.895,0.17,0.0,0.139,-11.368,0.0337,80.098,4,0.145
13,Goodnight Gotham,ANTI (Deluxe),Rihanna,2016-01-28,88493,54,0.418,0.00686,0.672,2.14e-06,0.277,-5.989,0.0429,82.134,4,0.353
14,Pose,ANTI (Deluxe),Rihanna,2016-01-28,144226,54,0.685,0.181,0.852,0.00135,0.147,-3.153,0.0846,145.918,4,0.77
15,Sex With Me,ANTI (Deluxe),Rihanna,2016-01-28,206400,74,0.58,0.294,0.532,0.0,0.0948,-5.668,0.0424,112.049,4,0.39
16,Obvious Bicycle,Modern Vampires of the City,Vampire Weekend,2013-05-13,251253,47,0.661,0.417,0.282,0.000156,0.227,-12.489,0.0542,89.997,4,0.12
17,Unbelievers,Modern Vampires of the City,Vampire Weekend,2013-05-13,202666,60,0.644,0.149,0.811,0.000473,0.17,-7.774,0.0517,154.909,4,0.817
18,Step,Modern Vampires of the City,Vampire Weekend,2013-05-13,251626,60,0.621,0.605,0.713,8.28e-06,0.103,-7.226,0.102,78.022,4,0.609
19,Diane Young,Modern Vampires of the City,Vampire Weekend,2013-05-13,160066,57,0.422,0.0333,0.809,3.64e-05,0.203,-5.607,0.246,87.076,4,0.735
20,Don't Lie,Modern Vampires of the City,Vampire Weekend,2013-05-13,213413,43,0.482,0.46,0.72,0.0,0.137,-7.259,0.0315,179.818,4,0.831
21,Hannah Hunt,Modern Vampires of the City,Vampire Weekend,2013-05-13,237973,54,0.647,0.705,0.31,0.000723,0.1,-10.237,0.0372,103.974,4,0.189
22,Everlasting Arms,Modern Vampires of the City,Vampire Weekend,2013-05-13,183320,45,0.677,0.438,0.704,0.00454,0.111,-8.158,0.206,119.889,4,0.51
23,Finger Back,Modern Vampires of the City,Vampire Weekend,2013-05-13,205960,43,0.669,0.27,0.822,1.81e-05,0.348,-4.987,0.0888,100.967,4,0.695
24,Worship You,Modern Vampires of the City,Vampire Weekend,2013-05-13,201240,47,0.465,0.00136,0.92,1.46e-06,0.311,-6.071,0.0791,149.073,4,0.3
25,Ya Hey,Modern Vampires of the City,Vampire Weekend,2013-05-13,312653,50,0.581,0.168,0.65,0.000413,0.0945,-6.594,0.0533,91.983,4,0.502
26,Hudson,Modern Vampires of the City,Vampire Weekend,2013-05-13,254800,39,0.424,0.553,0.439,0.000417,0.132,-10.46,0.0536,80.017,4,0.242
27,Young Lion,Modern Vampires of the City,Vampire Weekend,2013-05-13,105360,39,0.272,0.913,0.238,0.0194,0.115,-11.119,0.0402,180.838,3,0.363
28,Dancing On My Own - Radio Edit,Body Talk,Robyn,2010-01-01,278080,62,0.573,0.00202,0.926,0.0117,0.127,-6.045,0.0342,117.047,4,0.219
29,Fembot,Body Talk,Robyn,2010-01-01,214306,33,0.842,0.000914,0.882,0.0112,0.0999,-4.96,0.0442,123.068,4,0.374
30,Don't Fucking Tell Me What To Do,Body Talk,Robyn,2010-01-01,249933,31,0.856,0.00406,0.406,0.425,0.0565,-8.551,0.064,120.001,4,0.199
31,Indestructible,Body Talk,Robyn,2010-01-01,220800,41,0.655,0.00212,0.726,0.272,0.142,-4.545,0.0297,119.924,4,0.102
32,Time Machine,Body Talk,Robyn,2010-01-01,214533,31,0.679,4e-05,0.749,1.14e-05,0.281,-4.652,0.0418,128.006,4,0.635
33,Love Kills,Body Talk,Robyn,2010-01-01,268386,29,0.666,0.00252,0.912,3.18e-05,0.394,-5.732,0.0837,122.018,4,0.596
34,Hang With Me,Body Talk,Robyn,2010-01-01,259506,44,0.654,0.00973,0.818,0.00122,0.107,-6.152,0.035,114.97,4,0.245
35,Call Your Girlfriend,Body Talk,Robyn,2010-01-01,227346,54,0.599,0.00101,0.887,0.0545,0.0716,-2.377,0.11,125.097,4,0.461
36,None Of Dem,Body Talk,Robyn,2010-01-01,311920,29,0.723,0.00537,0.583,0.0046,0.101,-5.09,0.11,122.697,4,0.371
37,We Dance To The Beat,Body Talk,Robyn,2010-01-01,266333,23,0.834,0.00641,0.663,0.475,0.643,-7.753,0.0732,119.998,4,0.204
38,U Should Know Better,Body Talk,Robyn,2010-01-01,241080,28,0.462,0.00641,0.874,0.0305,0.0924,-4.376,0.43,179.656,4,0.514
39,Dancehall Queen,Body Talk,Robyn,2010-01-01,217586,27,0.794,0.00177,0.752,0.00373,0.35,-4.785,0.0803,138.002,4,0.692
40,Get Myself Together,Body Talk,Robyn,2010-01-01,220800,32,0.763,0.00107,0.853,0.696,0.13,-3.849,0.0505,127.02,3,0.54
41,In My Eyes,Body Talk,Robyn,2010-01-01,235586,23,0.686,0.00146,0.893,0.262,0.198,-3.374,0.0351,129.982,4,0.456
42,Stars 4-Ever,Body Talk,Robyn,2010-01-01,239626,31,0.74,0.00236,0.751,0.0208,0.327,-4.957,0.0452,122.951,4,0.623
43,Burn the Witch,A Moon Shaped Pool,Radiohead,2016-05-08,220609,57,0.54,0.303,0.847,0.272,0.109,-6.52,0.0297,148.936,4,0.62
44,Daydreaming,A Moon Shaped Pool,Radiohead,2016-05-08,384438,59,0.214,0.968,0.263,0.853,0.126,-13.207,0.0336,137.561,3,0.113
45,Decks Dark,A Moon Shaped Pool,Radiohead,2016-05-08,281011,58,0.557,0.666,0.501,0.837,0.117,-10.827,0.0269,139.149,4,0.271
46,Desert Island Disk,A Moon Shaped Pool,Radiohead,2016-05-08,224698,50,0.56,0.868,0.282,0.529,0.11,-13.241,0.0287,112.009,1,0.158
47,Ful Stop,A Moon Shaped Pool,Radiohead,2016-05-08,367348,51,0.425,0.352,0.662,0.941,0.619,-9.877,0.0502,151.182,3,0.178
48,Glass Eyes,A Moon Shaped Pool,Radiohead,2016-05-08,172935,51,0.237,0.955,0.11,0.557,0.138,-15.721,0.0358,114.436,4,0.0632
49,Identikit,A Moon Shaped Pool,Radiohead,2016-05-08,266643,54,0.692,0.0632,0.459,0.512,0.136,-9.461,0.0403,150.695,4,0.35
50,The Numbers,A Moon Shaped Pool,Radiohead,2016-05-08,345886,50,0.282,0.651,0.372,0.409,0.0755,-9.77,0.0315,105.271,3,0.0551
51,Present Tense,A Moon Shaped Pool,Radiohead,2016-05-08,306581,57,0.462,0.912,0.407,0.399,0.11,-12.428,0.0345,91.915,4,0.336
52,Tinker Tailor Soldier Sailor Rich Man Poor Man Beggar Man Thief,A Moon Shaped Pool,Radiohead,2016-05-08,303688,48,0.355,0.73,0.436,0.798,0.106,-10.944,0.0302,90.388,4,0.0508
53,True Love Waits,A Moon Shaped Pool,Radiohead,2016-05-08,283463,60,0.401,0.938,0.132,0.102,0.1,-15.569,0.0355,136.142,4,0.0381
54,Elevator Operator,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,194946,31,0.682,0.000766,0.769,0.00898,0.36,-7.197,0.0324,131.693,4,0.769
55,Pedestrian at Best,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,230560,33,0.479,4.61e-06,0.854,5.72e-05,0.372,-6.101,0.0405,136.067,4,0.535
56,An Illustration of Loneliness (Sleepless In New York),"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,190920,30,0.517,0.000126,0.643,0.0201,0.157,-6.571,0.0315,203.724,4,0.967
57,Small Poppies,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,419906,29,0.332,0.0047,0.442,0.0128,0.115,-9.055,0.0269,170.717,3,0.222
58,Depreston,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,292853,30,0.692,0.0246,0.467,1.43e-05,0.059,-11.577,0.0336,126.407,4,0.422
59,Aqua Profunda!,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,119920,26,0.703,0.000108,0.663,0.324,0.125,-7.424,0.0335,135.909,4,0.631
60,Dead Fox,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,213080,26,0.574,8.85e-05,0.69,1.86e-05,0.0846,-5.938,0.0388,128.556,4,0.577
61,Nobody Really Cares If You Don't Go to the Party,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,166080,29,0.421,1.64e-05,0.93,0.128,0.341,-5.133,0.0741,136.688,4,0.574
62,Debbie Downer,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,197560,25,0.518,8.27e-05,0.756,1.84e-05,0.133,-6.027,0.0315,129.14,4,0.391
63,Kim's Caravan,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,407266,23,0.258,0.0593,0.309,0.0,0.229,-10.283,0.0415,177.4,4,0.0392
64,Boxing Day Blues,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,182062,21,0.607,0.94,0.0604,0.000198,0.103,-15.319,0.0361,124.788,4,0.362
65,Lance Jr - Live at Electric Lady Studios,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,188026,21,0.599,0.303,0.842,0.0466,0.786,-5.985,0.0491,119.759,4,0.444
66,Canned Tomatoes - Live at Electric Lady Studios,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,284960,20,0.316,0.0014,0.903,0.0554,0.674,-4.907,0.0863,124.04,4,0.201
67,Scotty Says - Live at Electric Lady Studios,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,281480,19,0.529,0.0588,0.678,0.0374,0.189,-4.852,0.0564,127.89,4,0.511
68,History Eraser - Live at Electric Lady Studios,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,271120,20,0.484,0.0462,0.802,3.48e-05,0.674,-4.823,0.0739,125.238,4,0.492
69,Avant Gardener - Live at Electric Lady Studios,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,340133,21,0.531,0.0953,0.795,0.0101,0.21,-5.777,0.0901,127.618,4,0.466
70,David - Live at Electric Lady Studios,"Sometimes I Sit and Think, and Sometimes I Just Sit (Special Edition)",Courtney Barnett,2015-11-20,237386,18,0.457,0.139,0.85,0.00731,0.636,-5.83,0.136,133.79,4,0.645
71,Rise,A Seat at the Table,Solange,2016-09-30,101813,50,0.507,0.651,0.418,7.36e-06,0.126,-8.659,0.167,84.902,4,0.24
72,Weary,A Seat at the Table,Solange,2016-09-30,194253,49,0.507,0.655,0.466,0.363,0.0929,-11.966,0.0862,157.013,4,0.11
73,Interlude: The Glory is in You,A Seat at the Table,Solange,2016-09-30,17773,1,0.538,0.986,0.259,2.84e-06,0.133,-11.956,0.189,75.297,4,0.827
74,Cranes in the Sky,A Seat at the Table,Solange,2016-09-30,250973,64,0.719,0.408,0.615,0.000147,0.235,-5.972,0.045,96.988,4,0.465
75,Interlude: Dad Was Mad,A Seat at the Table,Solange,2016-09-30,46266,40,0.631,0.926,0.314,7.26e-05,0.106,-10.614,0.102,114.015,4,0.66
76,Mad (feat. Lil Wayne),A Seat at the Table,Solange,2016-09-30,235493,56,0.827,0.101,0.477,4.15e-05,0.0908,-5.025,0.254,119.807,4,0.599
77,Don't You Wait,A Seat at the Table,Solange,2016-09-30,245906,43,0.833,0.279,0.579,0.692,0.0997,-6.568,0.08,102.009,4,0.514
78,Interlude: Tina Taught Me,A Seat at the Table,Solange,2016-09-30,74866,39,0.733,0.928,0.312,0.0772,0.105,-12.34,0.218,46.693,4,0.405
79,Don't Touch My Hair (feat. Sampha),A Seat at the Table,Solange,2016-09-30,257546,54,0.823,0.409,0.411,0.00135,0.649,-7.061,0.0557,90.997,4,0.397
80,Interlude: This Moment,A Seat at the Table,Solange,2016-09-30,49453,39,0.318,0.943,0.658,1.37e-05,0.51,-7.246,0.0685,84.915,5,0.65
81,Where Do We Go,A Seat at the Table,Solange,2016-09-30,264373,46,0.85,0.0263,0.351,0.0037,0.0748,-5.536,0.0517,138.045,4,0.412
82,Interlude: For Us By Us,A Seat at the Table,Solange,2016-09-30,52680,38,0.552,0.98,0.576,0.137,0.257,-8.874,0.183,79.44,4,0.865
83,F.U.B.U. (feat. The-Dream & BJ The Chicago Kid),A Seat at the Table,Solange,2016-09-30,313893,46,0.475,0.84,0.499,0.0,0.111,-6.818,0.185,142.867,4,0.454
84,Borderline (An Ode to Self Care) (feat. Q-Tip),A Seat at the Table,Solange,2016-09-30,182733,48,0.69,0.152,0.577,0.0016,0.121,-9.497,0.0448,92.985,4,0.472
85,"Interlude: I Got So Much Magic, You Can Have It (feat. Kelly Rowland & Nia Andrews)",A Seat at the Table,Solange,2016-09-30,26906,3,0.652,0.973,0.0584,0.0,0.557,-14.439,0.323,115.04,4,0.639
86,Junie,A Seat at the Table,Solange,2016-09-30,186026,45,0.826,0.206,0.724,0.0608,0.144,-4.058,0.0846,100.003,3,0.652
87,Interlude: No Limits,A Seat at the Table,Solange,2016-09-30,39706,37,0.483,0.944,0.376,0.0579,0.121,-13.222,0.322,95.643,4,0.887
88,Don't Wish Me Well,A Seat at the Table,Solange,2016-09-30,255626,43,0.742,0.452,0.417,0.185,0.154,-8.079,0.0407,124.915,4,0.388
89,Interlude: Pedestals,A Seat at the Table,Solange,2016-09-30,57666,36,0.721,0.982,0.318,0.0,0.151,-15.385,0.62,49.549,3,0.885
90,Scales (feat. Kelela),A Seat at the Table,Solange,2016-09-30,219306,39,0.459,0.593,0.366,0.0137,0.11,-10.62,0.0578,97.104,3,0.255
91,Closing: The Chosen Ones,A Seat at the Table,Solange,2016-09-30,42226,36,0.402,0.964,0.502,0.0828,0.0885,-10.21,0.079,66.066,3,0.612
92,I Know Places,1989 (Deluxe Edition),Taylor Swift,2014-10-27,195706,58,0.602,0.245,0.755,0.0,0.178,-4.991,0.071,159.965,4,0.495
93,Clean,1989 (Deluxe Edition),Taylor Swift,2014-10-27,271000,63,0.815,0.232,0.377,0.0,0.1,-7.754,0.0346,103.97,4,0.211
94,Wonderland,1989 (Deluxe Edition),Taylor Swift,2014-10-27,245560,62,0.422,0.0493,0.692,2.57e-05,0.177,-5.447,0.0549,184.014,4,0.197
95,You Are In Love,1989 (Deluxe Edition),Taylor Swift,2014-10-27,267106,62,0.474,0.707,0.48,0.000108,0.0903,-8.894,0.0622,170.109,4,0.319
96,New Romantics,1989 (Deluxe Edition),Taylor Swift,2014-10-27,230466,68,0.633,0.00463,0.889,0.000458,0.0658,-5.87,0.0715,121.956,4,0.584
97,I Know Places - Voice Memo,1989 (Deluxe Edition),Taylor Swift,2014-10-27,216333,41,0.592,0.829,0.128,0.0,0.527,-17.932,0.589,78.828,4,0.15
98,I Wish You Would - Voice Memo,1989 (Deluxe Edition),Taylor Swift,2014-10-27,107133,39,0.781,0.717,0.357,0.0,0.185,-16.394,0.912,118.317,4,0.645
99,Blank Space - Voice Memo,1989 (Deluxe Edition),Taylor Swift,2014-10-27,131186,39,0.675,0.801,0.234,0.0,0.657,-15.064,0.721,127.296,4,0.578
100,Welcome To New York,1989 (Deluxe Edition),Taylor Swift,2014-10-27,212600,55,0.789,0.0348,0.634,1.64e-06,0.302,-4.762,0.0323,116.992,4,0.658
101,Blank Space,1989 (Deluxe Edition),Taylor Swift,2014-10-27,231826,61,0.76,0.103,0.703,0.0,0.0913,-5.412,0.054,95.997,4,0.57
102,Style,1989 (Deluxe Edition),Taylor Swift,2014-10-27,231000,63,0.588,0.00245,0.791,0.00258,0.118,-5.595,0.0402,94.933,4,0.487
103,Out Of The Woods,1989 (Deluxe Edition),Taylor Swift,2014-10-27,235800,59,0.553,0.000743,0.841,1.19e-05,0.341,-6.937,0.0396,92.008,4,0.338
104,All You Had To Do Was Stay,1989 (Deluxe Edition),Taylor Swift,2014-10-27,193293,57,0.605,0.00201,0.725,2.02e-05,0.101,-5.729,0.0323,96.97,4,0.539
105,Shake It Off,1989 (Deluxe Edition),Taylor Swift,2014-10-27,219200,58,0.647,0.0647,0.8,0.0,0.334,-5.384,0.165,160.078,4,0.942
106,I Wish You Would,1989 (Deluxe Edition),Taylor Swift,2014-10-27,207440,59,0.653,0.0158,0.893,4.95e-05,0.102,-5.966,0.0538,118.035,4,0.513
107,Bad Blood,1989 (Deluxe Edition),Taylor Swift,2014-10-27,211933,56,0.646,0.0885,0.794,6.16e-06,0.201,-6.104,0.19,170.216,4,0.287
108,Wildest Dreams,1989 (Deluxe Edition),Taylor Swift,2014-10-27,220440,56,0.55,0.0692,0.688,0.00144,0.106,-7.416,0.0897,139.997,4,0.465
109,How You Get The Girl,1989 (Deluxe Edition),Taylor Swift,2014-10-27,247533,61,0.765,0.00364,0.656,0.00868,0.0918,-6.112,0.0504,119.997,4,0.545
110,This Love,1989 (Deluxe Edition),Taylor Swift,2014-10-27,250093,56,0.481,0.678,0.435,0.0,0.0928,-8.795,0.0321,143.95,4,0.107
111,Getting Ready for Christmas Day,So Beautiful or So What,Paul Simon,2011-04-08,246720,28,0.814,0.405,0.79,1.33e-05,0.28,-5.406,0.103,124.032,3,0.947
112,The Afterlife,So Beautiful or So What,Paul Simon,2011-04-08,220173,24,0.506,0.263,0.754,0.0,0.0473,-8.19,0.092,167.906,4,0.958
113,Dazzling Blue,So Beautiful or So What,Paul Simon,2011-04-08,272320,26,0.435,0.754,0.479,0.00116,0.0619,-7.844,0.0409,65.388,4,0.802
114,Rewrite,So Beautiful or So What,Paul Simon,2011-04-08,229720,35,0.737,0.43,0.572,0.000166,0.184,-7.237,0.036,92.308,4,0.807
115,Love and Hard Times,So Beautiful or So What,Paul Simon,2011-04-08,249480,34,0.337,0.924,0.159,0.00074,0.103,-13.474,0.031,87.094,4,0.173
116,Love Is Eternal Sacred Light,So Beautiful or So What,Paul Simon,2011-04-08,242160,19,0.64,0.0781,0.778,3e-06,0.13,-7.327,0.0944,127.048,4,0.716
117,Amulet,So Beautiful or So What,Paul Simon,2011-04-08,96573,17,0.424,0.834,0.17,0.0277,0.122,-15.016,0.0373,98.553,1,0.193
118,Question for the Angels,So Beautiful or So What,Paul Simon,2011-04-08,229906,28,0.347,0.971,0.0892,2.69e-05,0.085,-16.165,0.0523,170.716,5,0.217
119,Love & Blessings,So Beautiful or So What,Paul Simon,2011-04-08,258160,20,0.527,0.657,0.643,0.00924,0.102,-9.171,0.0691,177.941,4,0.655
120,So Beautiful or so What,So Beautiful or So What,Paul Simon,2011-04-08,248573,22,0.768,0.681,0.718,3.62e-05,0.101,-5.097,0.035,111.977,4,0.916
121,Good Ass Intro,Acid Rap,Chance the Rapper,2013-04-30,239250,55,0.605,0.0644,0.731,2.7e-06,0.331,-8.127,0.291,79.843,4,0.672
122,Pusha Man,Acid Rap,Chance the Rapper,2013-04-30,139406,52,0.768,0.469,0.569,0.0,0.678,-8.791,0.243,124.104,4,0.883
123,Paranoia,Acid Rap,Chance the Rapper,2013-04-30,275281,54,0.472,0.317,0.282,0.000158,0.107,-12.309,0.306,69.985,4,0.123
124,Cocoa Butter Kisses,Acid Rap,Chance the Rapper,2013-04-30,307187,71,0.679,0.0518,0.645,0.0,0.145,-7.777,0.222,125.795,4,0.203
125,Juice,Acid Rap,Chance the Rapper,2013-04-30,30300,48,0.759,0.495,0.111,0.0,0.495,-21.779,0.861,109.238,5,0.804
126,Lost,Acid Rap,Chance the Rapper,2013-04-30,184562,55,0.667,0.245,0.428,0.0,0.144,-8.911,0.264,119.599,4,0.449
127,Everybody's Something,Acid Rap,Chance the Rapper,2013-04-30,276937,50,0.551,0.0662,0.459,0.0,0.373,-9.748,0.374,69.156,4,0.511
128,Interlude (That's Love),Acid Rap,Chance the Rapper,2013-04-30,149875,48,0.417,0.437,0.509,1.83e-06,0.349,-10.017,0.121,171.808,4,0.378
129,Favorite Song,Acid Rap,Chance the Rapper,2013-04-30,185062,66,0.725,0.0321,0.601,0.0,0.0504,-9.03,0.377,155.918,4,0.811
130,NaNa,Acid Rap,Chance the Rapper,2013-04-30,200625,50,0.594,0.0389,0.472,8.49e-06,0.642,-7.74,0.439,82.601,4,0.891
131,Smoke Again,Acid Rap,Chance the Rapper,2013-04-30,272562,53,0.721,0.0996,0.48,0.0,0.39,-9.282,0.219,120.148,4,0.508
132,Acid Rain,Acid Rap,Chance the Rapper,2013-04-30,216312,59,0.727,0.218,0.527,0.000228,0.113,-7.111,0.252,84.471,4,0.102
133,Chain Smoker,Acid Rap,Chance the Rapper,2013-04-30,210562,53,0.661,0.0202,0.557,0.000128,0.169,-8.798,0.198,110.967,4,0.412
134,Everything's Good (Good Ass Outro),Acid Rap,Chance the Rapper,2013-04-30,333379,46,0.692,0.0228,0.661,0.000168,0.101,-9.611,0.381,155.943,4,0.135
135,Master Of My Craft,Light Up Gold,Parquet Courts,2013-01-15,190346,33,0.162,0.0337,0.866,0.85,0.581,-6.778,0.0685,187.613,4,0.581
136,Borrowed Time,Light Up Gold,Parquet Courts,2013-01-15,152040,37,0.4,0.0459,0.723,0.828,0.549,-7.233,0.0311,92.301,4,0.799
137,Donuts Only,Light Up Gold,Parquet Courts,2013-01-15,81280,21,0.461,0.0914,0.486,0.0482,0.468,-7.195,0.0462,121.809,4,0.672
138,Yr No Stoner,Light Up Gold,Parquet Courts,2013-01-15,110813,21,0.554,0.329,0.874,0.0484,0.132,-7.236,0.0528,122.524,4,0.66
139,Yonder Is Closer to the Heart,Light Up Gold,Parquet Courts,2013-01-15,179773,21,0.317,0.102,0.887,0.304,0.099,-6.807,0.0425,91.906,4,0.445
140,Careers In Combat,Light Up Gold,Parquet Courts,2013-01-15,67453,22,0.4,0.27,0.8,0.823,0.322,-7.438,0.0632,112.614,4,0.928
141,"Light Up Gold, Pt. 1",Light Up Gold,Parquet Courts,2013-01-15,18840,0,0.32,0.991,0.00575,0.523,0.333,-21.396,0.0425,84.891,1,0.0
142,"Light Up Gold, Pt. 2",Light Up Gold,Parquet Courts,2013-01-15,73560,24,0.341,0.234,0.876,3.92e-05,0.122,-7.013,0.0733,90.333,4,0.763
143,N Dakota,Light Up Gold,Parquet Courts,2013-01-15,139333,27,0.658,0.463,0.558,0.0183,0.113,-9.88,0.031,115.081,4,0.458
144,Stoned And Starving,Light Up Gold,Parquet Courts,2013-01-15,311680,43,0.236,0.274,0.882,0.875,0.131,-7.426,0.0586,169.735,4,0.29
145,No Ideas,Light Up Gold,Parquet Courts,2013-01-15,157226,16,0.444,0.0603,0.498,0.0354,0.109,-7.485,0.0318,108.8,4,0.378
146,Caster Of Worthless Spells,Light Up Gold,Parquet Courts,2013-01-15,78013,16,0.351,0.0712,0.813,0.959,0.371,-7.654,0.044,104.544,1,0.437
147,Disney P.T.,Light Up Gold,Parquet Courts,2013-01-15,72840,17,0.175,0.322,0.918,0.219,0.865,-6.807,0.0628,199.701,4,0.519
148,Tears O Plenty,Light Up Gold,Parquet Courts,2013-01-15,195893,19,0.462,0.0591,0.724,0.374,0.198,-8.119,0.0507,131.92,4,0.425
149,Picture Of Health,Light Up Gold,Parquet Courts,2013-01-15,164520,16,0.285,0.259,0.702,0.695,0.187,-9.366,0.036,98.711,4,0.421
150,Vibras,Vibras,J Balvin,2018-05-25,66226,48,0.53,0.551,0.189,0.084,0.122,-7.934,0.0824,209.08,5,0.119
151,Mi Gente,Vibras,J Balvin,2018-05-25,185040,73,0.548,0.0168,0.704,2.25e-05,0.143,-4.838,0.0777,104.666,4,0.288
152,Ambiente,Vibras,J Balvin,2018-05-25,248826,55,0.789,0.139,0.731,1.92e-06,0.635,-6.245,0.101,81.009,4,0.79
153,Cuando Tú Quieras,Vibras,J Balvin,2018-05-25,205120,52,0.696,0.361,0.668,0.0038,0.31,-5.063,0.199,184.329,4,0.761
154,No Es Justo,Vibras,J Balvin,2018-05-25,250840,68,0.684,0.161,0.811,0.000363,0.0871,-4.494,0.0714,87.866,4,0.721
155,Ahora,Vibras,J Balvin,2018-05-25,254720,56,0.81,0.0997,0.716,0.000145,0.0859,-5.038,0.0638,88.002,4,0.811
156,Brillo,Vibras,J Balvin,2018-05-25,159573,64,0.535,0.89,0.384,0.0,0.0964,-10.049,0.362,145.947,4,0.767
157,En Mí (Interlude),Vibras,J Balvin,2018-05-25,53560,38,0.0866,0.903,0.13,0.624,0.104,-22.208,0.0409,172.305,3,0.0634
158,En Mí,Vibras,J Balvin,2018-05-25,195586,48,0.819,0.183,0.55,7.14e-06,0.32,-7.807,0.0695,108.98,4,0.853
159,Peligrosa,Vibras,J Balvin,2018-05-25,202346,61,0.769,0.0545,0.759,0.000628,0.101,-4.393,0.051,105.993,4,0.68
160,Noches Pasadas,Vibras,J Balvin,2018-05-25,222493,49,0.65,0.554,0.835,0.0129,0.112,-6.717,0.453,191.933,4,0.695
161,Tu Verdad,Vibras,J Balvin,2018-05-25,205120,48,0.777,0.174,0.64,1.33e-05,0.179,-6.656,0.0568,115.928,4,0.583
162,Dónde Estarás,Vibras,J Balvin,2018-05-25,191546,45,0.832,0.0635,0.76,0.0124,0.0776,-7.588,0.113,89.998,4,0.809
163,Machika,Vibras,J Balvin,2018-05-25,189653,58,0.641,0.0481,0.837,0.0,0.0897,-3.356,0.368,211.974,4,0.523
164,Everlasting Light,Brothers,The Black Keys,2010-05-18,203773,57,0.641,0.127,0.582,0.00632,0.354,-6.554,0.0483,181.039,4,0.725
165,Next Girl,Brothers,The Black Keys,2010-05-18,198213,50,0.383,0.022,0.748,0.00014,0.114,-6.343,0.0343,171.568,4,0.255
166,Tighten Up,Brothers,The Black Keys,2010-05-18,211080,62,0.504,0.00121,0.705,4.12e-06,0.453,-6.179,0.0665,108.965,4,0.567
